c_nuber;JP Partner;C_year;Status;C_title;s_date;Responsabl;F_date;PCode;PName;L_PName;PName;L_PName;Planed_amo;Amo_Province;Sector;X;Y;Sector
335573;European Union;2013;Ongoing;Participation of remote ethnic groups for good forest governance (GO-FoGo);04.01.2014;MAILLOT AUDREY;31.03.2018;16;Champasak;???????;Champasack;?. ?????????;300000;50000;Governance;602995,4303;1633379,012;Governance
335573;European Union;2013;Ongoing;Participation of remote ethnic groups for good forest governance (GO-FoGo);04.01.2014;MAILLOT AUDREY;31.03.2018;15;Xekong;?????;Sekong;?. ?????;300000;50000;Governance;717162,3037;1724959,583;Governance
369425;European Union;2015;Ongoing;Strenthening Civil Society to protect and promote social, economic and cultural rights of ethnic communities in Bokeo province;02.01.2016;SETHANAPHAIXANH PHONESAVANH;31.07.2020;5;Bokeo;???????;Bokeo;?. ????????;380000;380000;Governance;43321,0326;2257879,045;Governance
369064;European Union;2015;Ongoing;Bringing Justice Closer to Women suffering from Gender Based Violence;03.01.2016;MAILLOT AUDREY;28.02.2021;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;400000;200000;Governance;244231,412;2007885,134;Governance
369064;European Union;2015;Ongoing;Bringing Justice Closer to Women suffering from Gender Based Violence;03.01.2016;MAILLOT AUDREY;28.02.2021;16;Champasak;???????;Champasack;?. ?????????;400000;200000;Governance;602995,4303;1633379,012;Governance
369132;European Union;2015;Ongoing;Promoting and protecting social and cultural rights in Khammouane and Savannakhet;02.01.2016;MAILLOT AUDREY;31.07.2020;13;Savannakhet;???????????;Savannakhet;?. ??????????????;400000;200000;Governance;575095,9569;1830288,616;Governance
369132;European Union;2015;Ongoing;Promoting and protecting social and cultural rights in Khammouane and Savannakhet;02.01.2016;MAILLOT AUDREY;31.07.2020;12;Khammouan;??????;Khammuane;???. ???????;400000;200000;Governance;527368,6569;1942822,341;Governance
327297;European Union;2013;Ongoing;Enhancing Local Capacity to Mitigate UXO Risk;11.01.2013;SETHANAPHAIXANH PHONESAVANH;06.01.2018;9;Xiengkhouang;???????;Xiengkhuang;?. ???????;515999;257999;Other (UXO);345506,5802;2153443,325;Other (UXO)
327297;European Union;2013;Ongoing;Enhancing Local Capacity to Mitigate UXO Risk;11.01.2013;SETHANAPHAIXANH PHONESAVANH;06.01.2018;2;Phongsaly;????????;Phongsaly;?. ??????????;515999;257999;Other (UXO);214551,4531;2396452,242;Other (UXO)
352244;European Union;2014;Ongoing;Strengthening the Capacities of Lao Disabled People’s Organisations to meaningfully contribute to the Inclusive Development of Lao PDR;01.01.2015;SETHANAPHAIXANH PHONESAVANH;30.06.2020;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;611909;203970;Governance;244231,412;2007885,134;Governance
352244;European Union;2014;Ongoing;Strengthening the Capacities of Lao Disabled People’s Organisations to meaningfully contribute to the Inclusive Development of Lao PDR;01.01.2015;SETHANAPHAIXANH PHONESAVANH;30.06.2020;13;Savannakhet;???????????;Savannakhet;?. ??????????????;611909;203970;Governance;575095,9569;1830288,616;Governance
352244;European Union;2014;Ongoing;Strengthening the Capacities of Lao Disabled People’s Organisations to meaningfully contribute to the Inclusive Development of Lao PDR;01.01.2015;SETHANAPHAIXANH PHONESAVANH;30.06.2020;16;Champasak;???????;Champasack;?. ?????????;611909;203970;Governance;602995,4303;1633379,012;Governance
311792;European Union;2013;Ongoing;EAT GREENER - CHANGING FOOD CONSUMPTION PATTERNS - A SUSTAINABLE APPROACH TOWARDS ECONOMIC DEVELOPMENT IN LAO PDR;04.01.2014;OLIVER-CRUZ IGNACIO;30.09.2019;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;612222;87460;Agriculture and rural development;244231,412;2007885,134;Agriculture and rural development
311792;European Union;2013;Ongoing;EAT GREENER - CHANGING FOOD CONSUMPTION PATTERNS - A SUSTAINABLE APPROACH TOWARDS ECONOMIC DEVELOPMENT IN LAO PDR;04.01.2014;OLIVER-CRUZ IGNACIO;30.09.2019;10;Vientiane;??????;Vientiane;?. ???????;612222;87460;Agriculture and rural development;196432,3932;2062692,358;Agriculture and rural development
311792;European Union;2013;Ongoing;EAT GREENER - CHANGING FOOD CONSUMPTION PATTERNS - A SUSTAINABLE APPROACH TOWARDS ECONOMIC DEVELOPMENT IN LAO PDR;04.01.2014;OLIVER-CRUZ IGNACIO;30.09.2019;9;Xiengkhouang;???????;Xiengkhuang;?. ???????;612222;87460;Agriculture and rural development;345506,5802;2153443,325;Agriculture and rural development
311792;European Union;2013;Ongoing;EAT GREENER - CHANGING FOOD CONSUMPTION PATTERNS - A SUSTAINABLE APPROACH TOWARDS ECONOMIC DEVELOPMENT IN LAO PDR;04.01.2014;OLIVER-CRUZ IGNACIO;30.09.2019;6;Louangphabang;?????????;Luangprabang;?. ???????????;612222;87460;Agriculture and rural development;243140,5795;2226599,839;Agriculture and rural development
311792;European Union;2013;Ongoing;EAT GREENER - CHANGING FOOD CONSUMPTION PATTERNS - A SUSTAINABLE APPROACH TOWARDS ECONOMIC DEVELOPMENT IN LAO PDR;04.01.2014;OLIVER-CRUZ IGNACIO;30.09.2019;11;Bolikhamxai;????????;Borikhamxay;?. ???????????;612222;87460;Agriculture and rural development;423001,918;2044726,932;Agriculture and rural development
311792;European Union;2013;Ongoing;EAT GREENER - CHANGING FOOD CONSUMPTION PATTERNS - A SUSTAINABLE APPROACH TOWARDS ECONOMIC DEVELOPMENT IN LAO PDR;04.01.2014;OLIVER-CRUZ IGNACIO;30.09.2019;12;Khammouan;??????;Khammuane;???. ???????;612222;87460;Agriculture and rural development;527368,6569;1942822,341;Agriculture and rural development
311792;European Union;2013;Ongoing;EAT GREENER - CHANGING FOOD CONSUMPTION PATTERNS - A SUSTAINABLE APPROACH TOWARDS ECONOMIC DEVELOPMENT IN LAO PDR;04.01.2014;OLIVER-CRUZ IGNACIO;30.09.2019;16;Champasak;???????;Champasack;?. ?????????;612222;87460;Agriculture and rural development;602995,4303;1633379,012;Agriculture and rural development
