c_nuber;JP Partner;C_year;Status;C_title;s_date;Responsabl;F_date;PCode;PName;L_PName;PName;L_PName;Planed_amo;Amo_Province;Sector;X;Y;Sector
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;3;Louangnamtha;?????????;Luangnamtha;?. ???????????;11500000;676471;Education Scholarships;97807,1837;2314345,448;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;5;Bokeo;???????;Bokeo;?. ????????;11500000;676471;Education Scholarships;43321,0326;2257879,045;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;8;Xaignabouly;????????;Xayabury;?. ???????????;11500000;676471;Education Scholarships;114380,2077;2097947,562;Education Scholarships
372181;European Union;2015;Ongoing;Basic Education Quality and Access in Lao PDR (BEQUAL);01.01.2016;VONGSALY CHINDAVANH;30.06.2022;10;Vientiane;??????;Vientiane;?. ???????;11500000;676471;Education Scholarships;196432,3932;2062692,358;Education Scholarships
342643;European Union;0;Ongoing;Strengthening Legal and Institutional Frameworks for Effective Public Administration–GPAR SLIFEPA;07.01.2014;MAILLOT AUDREY;30.06.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;1000000;1000000;Governance;244231,412;2007885,134;Governance
334856;European Union;0;Ongoing;Support Project for Implementation of the Legal Sector Master Plan;01.01.2014;MAILLOT AUDREY;30.06.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;1740000;1740000;Governance;244231,412;2007885,134;Governance
329585;European Union;0;Ongoing;Comprehensive Action to address priority areas of Lao PDR's National Strategic Plan for UXO;04.01.2014;SETHANAPHAIXANH PHONESAVANH;31.03.2016;9;Xiengkhouang;???????;Xiengkhuang;?. ???????;818211;818211;Other (UXO);345506,5802;2153443,325;Other (UXO)
343347;European Union;0;Ongoing;Support to European Business in South-East Asia Markets (SEBSEAM) – LAOS;02.01.2015;XAYTHANITH KALAKATE;31.12.2020;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;2000000;2000000;Private sector development ;244231,412;2007885,134;Private sector development 
356394;European Union;0;Ongoing;Support to the EU-Laos Human Rights Dialogue;05.04.2015;MAILLOT AUDREY;05.03.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;192508;192508;Governance;244231,412;2007885,134;Governance
354263;European Union;0;Ongoing;Support to the Education Sector Reform in Lao PDR (Education Sector Development Plan 2011-2015) Lao PDR;01.05.2015;VONGSALY CHINDAVANH;07.04.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;1170980;1170980;Education Scholarships;244231,412;2007885,134;Education Scholarships
359034;European Union;0;Ongoing;Support to the EU Development Partners in Joint Programming in Lao PDR;20.04.2015;OLIVER-CRUZ IGNACIO;31.03.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;161860;161860;Other;244231,412;2007885,134;Other
370996;European Union;0;Ongoing;Technical Assistance for the Vientiane Sustainable Urban Transport Project.;29.12.2015;XAYTHANITH KALAKATE;28.06.2022;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;5202071;5202071;Private sector development ;244231,412;2007885,134;Private sector development 
377726;European Union;0;Ongoing;Final evaluation to the Support to the National Strategic Plan for Unexploded Ordnance (UXO)--ACA/2011/22848;18.08.2016;OLIVER-CRUZ IGNACIO;17.12.2016;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;20000;20000;Other (UXO);244231,412;2007885,134;Other (UXO)
374172;European Union;0;Ongoing;Strengthening Civil Society Engagement Against Gender Based Violence;09.01.2016;SETHANAPHAIXANH PHONESAVANH;29.02.2020;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;400000;133333;Governance;244231,412;2007885,134;Governance
374172;European Union;0;Ongoing;Strengthening Civil Society Engagement Against Gender Based Violence;09.01.2016;SETHANAPHAIXANH PHONESAVANH;29.02.2020;15;Xekong;?????;Sekong;?. ?????;400000;133333;Governance;717162,3037;1724959,583;Governance
374172;European Union;0;Ongoing;Strengthening Civil Society Engagement Against Gender Based Violence;09.01.2016;SETHANAPHAIXANH PHONESAVANH;29.02.2020;2;Phongsaly;????????;Phongsaly;?. ??????????;400000;133333;Governance;214551,4531;2396452,241;Governance
376397;European Union;0;Ongoing;Identification on Trade Related Assistance in Lao PDR.;28.07.2016;XAYTHANITH KALAKATE;27.11.2016;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;20000;20000;Private sector development ;244231,412;2007885,134;Private sector development 
378960;European Union;0;Ongoing;Final evaluation for the Support to Strengthening Legal and Institutional Frameworks for Effective Public Administration–GPAR SLIFEPA;01.02.2017;MAILLOT AUDREY;04.01.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;20000;20000;Governance;244231,412;2007885,134;Governance
380982;European Union;0;Ongoing;Collaboration and Networking to Enhance Education and Nutrition (CANTEEN);01.01.2017;SENEKHAMTY INPONE;30.06.2021;13;Savannakhet;???????????;Savannakhet;?. ??????????????;983235;983235;Nutrition ;575095,9569;1830288,616;Nutrition 
382850;European Union;0;Ongoing;Citizen Engagement for Good Governance, Accountability and Rule of Law (CEGGA);01.01.2017;MAILLOT AUDREY;31.12.2020;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;5500000;5500000;Governance;244231,412;2007885,134;Governance
380666;European Union;0;Ongoing;Project for strengthening the capacities of Rural Community Health Services in 14 health centres in 7 districts in Oudomxay Province, Lao PDR.;01.01.2017;SETHANAPHAIXANH PHONESAVANH;31.12.2019;4;Oudomxai;???????;Oudomxay;?. ?????????;299970;299970;Nutrition ;157846,0655;2262655,681;Nutrition 
376636;European Union;0;Ongoing;Identification and Formulation of EU Action in Support of Public Administration and Public Financial Management;15.09.2016;HYJEK JULIANNA;15.09.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;119900;119900;Governance;244231,412;2007885,134;Governance
385292;European Union;0;Ongoing;Support to the Education Sector Reform in Lao PDR (Education Sector Development Plan 2016-2020), Lao PDR;24.04.2017;VONGSALY CHINDAVANH;23.04.2021;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;2975650;2975650;Education Scholarships;244231,412;2007885,134;Education Scholarships
381511;European Union;0;Ongoing;Technical support to the EU Nutrition Programme in Lao PDR;17.12.2016;SENEKHAMTY INPONE;16.06.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;9000;9000;Nutrition ;244231,412;2007885,134;Nutrition 
377346;European Union;0;Ongoing;Support to the identification and Formulation of EU Action in Support of Basic Education and Improvement of Education Sector Governance in Lao PDR;10.10.2016;VONGSALY CHINDAVANH;04.03.2018;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;113276;113276;Education Scholarships;244231,412;2007885,134;Education Scholarships
380299;European Union;0;Ongoing;Partnership for Community Health in Xieng Khouang Province;07.01.2017;SETHANAPHAIXANH PHONESAVANH;30.06.2021;9;Xiengkhouang;???????;Xiengkhuang;?. ???????;1199199;1199199;Nutrition ;345506,5802;2153443,325;Nutrition 
379318;European Union;0;Ongoing;Evaluation on EU Support to Education Sector in Lao PDR;22.02.2017;VONGSALY CHINDAVANH;21.08.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;55400;27700;Education Scholarships;244231,412;2007885,134;Education Scholarships
379318;European Union;0;Ongoing;Evaluation on EU Support to Education Sector in Lao PDR;22.02.2017;VONGSALY CHINDAVANH;21.08.2017;10;Vientiane;??????;Vientiane;?. ???????;55400;27700;Education Scholarships;196432,3932;2062692,358;Education Scholarships
373753;European Union;0;Ongoing;Financial Audit of Delegation Agreement DCI-ASIE/2011/272-233 concerning the Northern Uplands Development Programme (NUDP);20.04.2016;EVERAERT KOEN;18.08.2016;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;29687;29687;Agriculture and rural development;244231,412;2007885,134;Agriculture and rural development
380991;European Union;0;Ongoing;Capacity building for action on nutrition;05.01.2017;SENEKHAMTY INPONE;30.04.2021;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;1200000;1200000;Nutrition ;244231,412;2007885,134;Nutrition 
377858;European Union;0;Ongoing;Final Evaluation of the Northern Uplands Development Programme in Lao PDR;11.07.2016;EVERAERT KOEN;28.02.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;77413;19353;Agriculture and rural development;244231,412;2007885,134;Agriculture and rural development
377858;European Union;0;Ongoing;Final Evaluation of the Northern Uplands Development Programme in Lao PDR;11.07.2016;EVERAERT KOEN;28.02.2017;7;Houaphan;??????;Huaphanh;??. ???????;77413;19353;Agriculture and rural development;396388,9558;2243602,685;Agriculture and rural development
377858;European Union;0;Ongoing;Final Evaluation of the Northern Uplands Development Programme in Lao PDR;11.07.2016;EVERAERT KOEN;28.02.2017;6;Louangphabang;?????????;Luangprabang;?. ???????????;77413;19353;Agriculture and rural development;243140,5795;2226599,839;Agriculture and rural development
377858;European Union;0;Ongoing;Final Evaluation of the Northern Uplands Development Programme in Lao PDR;11.07.2016;EVERAERT KOEN;28.02.2017;2;Phongsaly;????????;Phongsaly;?. ??????????;77413;19353;Agriculture and rural development;214551,4531;2396452,241;Agriculture and rural development
380262;European Union;0;Ongoing;Formulation of The European Trade and Economic Support Programme for Lao PDR (EUTESP – Lao PDR);15.03.2017;XAYTHANITH KALAKATE;14.12.2017;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;57868;57868;Private sector development ;244231,412;2007885,134;Private sector development 
382948;European Union;0;Ongoing;Supporting Lao PDR's national unexploded ordnance institutions;09.01.2016;OLIVER-CRUZ IGNACIO;31.08.2019;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;2400000;2400000;Other (UXO);244231,412;2007885,134;Other (UXO)
381871;European Union;0;Ongoing;Partnership for Improved Nutrition in Lao PDR - Pillars 1 and 2: Strengthening Nutrition Governance for Multisectoral Response and Scaling Up Nutrition-Specific Actions;07.01.2016;EVERAERT KOEN;30.06.2021;1;Vientiane Capital;???????????????;Vientiane Capital;???????????????;9000000;9000000;Nutrition ;244231,412;2007885,134;Nutrition 
;;;;;;;;;;;;;91810;;;;;
